movie_title,title_year
Avatar,2009.0
Pirates of the Caribbean: At World's End,2007.0
Spectre,2015.0
The Dark Knight Rises,2012.0
Star Wars: Episode VII - The Force Awakens            ,
John Carter,2012.0
Spider-Man 3,2007.0
Tangled,2010.0
Avengers: Age of Ultron,2015.0
Harry Potter and the Half-Blood Prince,2009.0
Batman v Superman: Dawn of Justice,2016.0
Superman Returns,2006.0
Quantum of Solace,2008.0
Pirates of the Caribbean: Dead Man's Chest,2006.0
The Lone Ranger,2013.0
Man of Steel,2013.0
The Chronicles of Narnia: Prince Caspian,2008.0
The Avengers,2012.0
Pirates of the Caribbean: On Stranger Tides,2011.0
Men in Black 3,2012.0
The Hobbit: The Battle of the Five Armies,2014.0
The Amazing Spider-Man,2012.0
Robin Hood,2010.0
The Hobbit: The Desolation of Smaug,2013.0
The Golden Compass,2007.0
King Kong,2005.0
Titanic,1997.0
Captain America: Civil War,2016.0
Battleship,2012.0
Jurassic World,2015.0
Skyfall,2012.0
Spider-Man 2,2004.0
Iron Man 3,2013.0
Alice in Wonderland,2010.0
X-Men: The Last Stand,2006.0
Monsters University,2013.0
Transformers: Revenge of the Fallen,2009.0
Transformers: Age of Extinction,2014.0
Oz the Great and Powerful,2013.0
The Amazing Spider-Man 2,2014.0
TRON: Legacy,2010.0
Cars 2,2011.0
Green Lantern,2011.0
Toy Story 3,2010.0
Terminator Salvation,2009.0
Furious 7,2015.0
World War Z,2013.0
X-Men: Days of Future Past,2014.0
Star Trek Into Darkness,2013.0
Jack the Giant Slayer,2013.0
The Great Gatsby,2013.0
Prince of Persia: The Sands of Time,2010.0
Pacific Rim,2013.0
Transformers: Dark of the Moon,2011.0
Indiana Jones and the Kingdom of the Crystal Skull,2008.0
The Good Dinosaur,2015.0
Brave,2012.0
Star Trek Beyond,2016.0
WALL·E,2008.0
Rush Hour 3,2007.0
2012,2009.0
A Christmas Carol,2009.0
Jupiter Ascending,2015.0
The Legend of Tarzan,2016.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0
X-Men: Apocalypse,2016.0
The Dark Knight,2008.0
Up,2009.0
Monsters vs. Aliens,2009.0
Iron Man,2008.0
Hugo,2011.0
Wild Wild West,1999.0
The Mummy: Tomb of the Dragon Emperor,2008.0
